epoch,accuracy,loss,val_accuracy,val_loss
1,0.37358784675598145,11.190896034240723,0.3272394835948944,9.275947570800781
2,0.499805212020874,2.9294333457946777,0.4149908721446991,2.537677526473999
3,0.5551227331161499,1.7405526638031006,0.3345521092414856,3.8487586975097656
4,0.6049863696098328,1.3276594877243042,0.4917733073234558,1.968252182006836
5,0.6571874022483826,1.0613088607788086,0.44972577691078186,2.6343300342559814
6,0.6867939233779907,0.9134789109230042,0.5228519439697266,1.9676347970962524
7,0.7276977300643921,0.7752940654754639,0.5758683681488037,1.4818296432495117
8,0.7627580761909485,0.6572433710098267,0.648994505405426,1.2315561771392822
9,0.7974289059638977,0.5888362526893616,0.6617915630340576,1.1321293115615845
10,0.8001558184623718,0.5457413196563721,0.6361974477767944,1.4343276023864746
11,0.8375535607337952,0.4612298011779785,0.5923217535018921,1.9540882110595703
12,0.8430073857307434,0.4718037545681,0.5776965022087097,1.563152551651001
13,0.8523568511009216,0.42040714621543884,0.64716637134552,1.1843093633651733
14,0.8726139664649963,0.3798995018005371,0.5594149827957153,1.8499233722686768
15,0.8741722106933594,0.36327868700027466,0.6544789671897888,1.3812255859375
16,0.8987144231796265,0.29636499285697937,0.6288848519325256,1.549289345741272
17,0.8998831510543823,0.30869564414024353,0.5831809639930725,1.60442316532135
18,0.8979353308677673,0.30802449584007263,0.6398537755012512,1.6727951765060425
19,0.9072847962379456,0.2719241976737976,0.6398537755012512,1.6025159358978271
20,0.9193611145019531,0.24232929944992065,0.6160877346992493,1.7130494117736816
21,0.9228671789169312,0.22607357800006866,0.37294334173202515,5.035111427307129
22,0.9326061606407166,0.24639302492141724,0.5886654257774353,1.794683814048767
23,0.9279314279556274,0.2133585512638092,0.6435100436210632,1.7227046489715576
24,0.9189715385437012,0.23857787251472473,0.6544789671897888,1.6601511240005493
25,0.9353330731391907,0.20241013169288635,0.6398537755012512,1.651544213294983
26,0.9411764740943909,0.2015397548675537,0.678244948387146,1.4341051578521729
27,0.9446825385093689,0.17412780225276947,0.6855576038360596,1.428192138671875
28,0.9481885433197021,0.15240076184272766,0.6051188111305237,2.7487993240356445
29,0.9466302990913391,0.18315187096595764,0.6380255818367004,1.796287178993225
30,0.9587066769599915,0.14607129991054535,0.5521023869514465,2.8078689575195312
31,0.9516946077346802,0.14849048852920532,0.6234003901481628,2.075863838195801
32,0.9532528519630432,0.14788644015789032,0.619744062423706,3.0277481079101562
33,0.9513050317764282,0.14918355643749237,0.44972577691078186,5.761136054992676
34,0.9563692808151245,0.1583547741174698,0.6672760248184204,1.7632864713668823
35,0.9626022577285767,0.12091365456581116,0.6526508331298828,1.8890010118484497
36,0.9485781192779541,0.13818180561065674,0.650822639465332,2.0700039863586426
37,0.9571484327316284,0.13667947053909302,0.6672760248184204,1.6812108755111694
38,0.9668874144554138,0.11441215127706528,0.6709323525428772,1.630772590637207
39,0.9610440135002136,0.14130717515945435,0.678244948387146,1.746617317199707
40,0.9590961933135986,0.18031474947929382,0.6599634289741516,1.9473646879196167
