epoch,accuracy,loss,val_accuracy,val_loss
1,0.3856641948223114,4.732326984405518,0.20109689235687256,3.9323225021362305
2,0.474483847618103,1.3870501518249512,0.4332723915576935,1.6384626626968384
3,0.5395402908325195,1.1804503202438354,0.5045703649520874,1.376521110534668
4,0.6030385494232178,1.0751428604125977,0.513711154460907,1.3227872848510742
5,0.6112193465232849,1.0324746370315552,0.6142596006393433,0.9768336415290833
6,0.6416049599647522,0.9534245729446411,0.6179159283638,0.9660535454750061
7,0.6490066051483154,0.9159557819366455,0.46435099840164185,2.305811643600464
8,0.6704323887825012,0.8720179200172424,0.6215721964836121,1.142067313194275
9,0.6758862733840942,0.8711679577827454,0.6526508331298828,0.9274009466171265
10,0.7019867300987244,0.8155630230903625,0.6270566582679749,1.2419320344924927
11,0.6899104118347168,0.8104400634765625,0.6124314665794373,1.1587231159210205
12,0.6945851445198059,0.8097950220108032,0.645338237285614,0.9725223779678345
13,0.7101675271987915,0.784986138343811,0.5978062152862549,1.0279619693756104
14,0.719516932964325,0.7497414946556091,0.6380255818367004,1.0368210077285767
