epoch,accuracy,loss,val_accuracy,val_loss
1,0.3556680977344513,12.472505569458008,0.4204753339290619,2.116717576980591
2,0.43552786111831665,1.6239631175994873,0.37659963965415955,1.7948646545410156
3,0.46864044666290283,1.3876672983169556,0.5173674821853638,1.2447012662887573
4,0.4970782995223999,1.3108514547348022,0.44058501720428467,1.3996952772140503
5,0.4970782995223999,1.278495192527771,0.45155394077301025,1.4591937065124512
6,0.529411792755127,1.2125974893569946,0.6051188111305237,1.1221143007278442
7,0.5520062446594238,1.1810214519500732,0.5630713105201721,1.1717485189437866
8,0.5488897562026978,1.1801643371582031,0.5868372917175293,1.106316328048706
9,0.5438254475593567,1.1844571828842163,0.5283364057540894,1.3621834516525269
10,0.5438254475593567,1.1495893001556396,0.5191956162452698,1.5569971799850464
11,0.5625243186950684,1.1351516246795654,0.5868372917175293,1.1129127740859985
12,0.5726528763771057,1.1088924407958984,0.5466179251670837,1.1397088766098022
13,0.5913517475128174,1.0818277597427368,0.6288848519325256,0.9927302598953247
14,0.5761589407920837,1.0875611305236816,0.5722120404243469,1.2726497650146484
15,0.5913517475128174,1.0723376274108887,0.6032906770706177,1.05706787109375
16,0.6045967936515808,1.0499111413955688,0.6142596006393433,1.0899295806884766
17,0.6197896599769592,1.0322767496109009,0.5850091576576233,1.1569616794586182
18,0.6186209321022034,1.0198701620101929,0.6106032729148865,1.0317306518554688
