epoch,accuracy,loss,val_accuracy,val_loss
1,0.3973509967327118,9.941707611083984,0.3272394835948944,7.666501998901367
2,0.48889753222465515,2.5940723419189453,0.36014625430107117,3.266174554824829
3,0.5079859495162964,1.6747705936431885,0.4424131512641907,2.5251572132110596
4,0.5710946917533875,1.2990715503692627,0.542961597442627,2.1288509368896484
5,0.5940787196159363,1.1736899614334106,0.5758683681488037,1.334166407585144
6,0.6213479042053223,1.0910712480545044,0.5484460592269897,1.5433077812194824
7,0.6439423561096191,0.9847303032875061,0.5776965022087097,1.4515289068222046
8,0.6478379368782043,0.9610077142715454,0.5758683681488037,1.2118836641311646
9,0.6567978262901306,0.9388885498046875,0.6234003901481628,1.2235026359558105
10,0.6836774349212646,0.8857104182243347,0.5246800780296326,2.099792957305908
11,0.6856252551078796,0.8645530343055725,0.5447897911071777,2.0933899879455566
12,0.6879625916481018,0.861844003200531,0.6654478907585144,1.0178817510604858
13,0.6965329051017761,0.8402882814407349,0.6563071012496948,1.3435267210006714
14,0.6895208358764648,0.8265382051467896,0.674588680267334,1.0783827304840088
15,0.7086092829704285,0.797263503074646,0.6727604866027832,1.085565209388733
16,0.7148422002792358,0.7827771306037903,0.6106032729148865,1.2383707761764526
17,0.7089988589286804,0.7970024347305298,0.5246800780296326,1.5590155124664307
